name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
POSTAL,Running With Scissors,11/14/1997,119,$0,7.21K,835
Half-Life,Valve,11/08/1998,110,$9.99,112.19K,3.93K
Team Fortress Classic,Valve,04/01/1999,12,$4.99,6.83K,1.04K
Legacy of Kain: Soul Reaver,Crystal Dynamics,09/08/1999,250,$0,1.33K,474
Half-Life: Opposing Force,Valve,11/01/1999,184,$4.99,19.42K,980
Counter-Strike,Valve,11/01/2000,154,$9.99,225.72K,5.87K
Ricochet,Valve,11/01/2000,4,$4.99,4.5K,982
Gothic 1,THQ Nordic,03/15/2001,85,$9.99,11.77K,957
Deathmatch Classic,Valve,06/01/2001,5,$4.99,2.34K,500
Half-Life: Blue Shift,Valve,06/01/2001,74,$4.99,13.78K,1.2K
Mafia,2K,08/28/2002,32,$14.99,11.69K,1.71K
Day of Defeat,Valve,05/01/2003,13,$4.99,5.93K,661
Counter-Strike: Condition Zero,Valve,03/01/2004,35,$9.99,22.02K,2.11K
Half-Life: Source,Valve,06/01/2004,96,$9.99,10.2K,4.3K
Half-Life 2: Deathmatch,Valve,11/01/2004,20,$4.99,11.19K,1.15K
Counter-Strike: Source,Valve,11/01/2004,263,$9.99,158.23K,6.11K
Half-Life 2,Valve,11/16/2004,704,$9.99,176.63K,4.37K
Dungeon Siege II,Square Enix,08/16/2005,104,$6.99,1.77K,607
Half-Life 2: Lost Coast,Valve,10/27/2005,197,$0,11.07K,1.36K
Gothic II: Gold Edition,THQ Nordic,11/29/2005,422,$9.99,12.04K,814
Half-Life Deathmatch: Source,Valve,05/01/2006,7,$9.99,2.86K,999
Half-Life 2: Episode One,Valve,06/01/2006,151,$7.99,26.51K,1.17K
The Ship: Murder Party,Blazing Griffin,07/11/2006,159,$9.99,5.08K,844
X3: Reunion,Egosoft,07/21/2006,1998,$9.99,453,178
Uplink,Introversion Software,08/23/2006,456,$9.99,2.06K,199
Zuma Deluxe,"PopCap Games, Inc.",08/30/2006,11,$4.99,3.5K,180
Company of Heroes,SEGA,09/11/2006,610,$19.99,14.07K,829
Psychonauts,Double Fine Productions,10/11/2006,83,$9.99,15.54K,781
Call of Duty 2,Activision,10/13/2006,219,$19.99,8.36K,582
Call of Duty (2003),Activision,10/13/2006,454,$19.99,5.4K,306
Dark Messiah of Might & Magic,Ubisoft,10/25/2006,522,$9.99,8.64K,823
Sid Meier's Civilization III Complete,2K,10/25/2006,33,$4.99,5.7K,677
Sid Meier's Civilization IV,2K,10/25/2006,16,$19.99,2.78K,207
Total War: MEDIEVAL II – Definitive Edition,SEGA,11/15/2006,1125,$24.99,28.4K,1.28K
Garry's Mod,Valve,11/29/2006,1543,$9.99,992.36K,33.51K
Hitman: Blood Money,Io-Interactive A/S,03/15/2007,214,$9.99,11.35K,690
Just Cause,Square Enix,03/15/2007,153,$6.99,3.03K,1.53K
Hitman 2: Silent Assassin,Io-Interactive A/S,03/15/2007,396,$8.99,2.87K,555
Hitman: Codename 47,IO Interactive A/S,03/15/2007,36,$7.99,2.47K,926
Commandos 3: Destination Berlin,Kalypso Media Digital,03/15/2007,27,$4.99,638,373
Battlestations: Midway,Square Enix,03/15/2007,774,$6.99,646,187
Commandos: Behind Enemy Lines,Kalypso Media Digital,03/15/2007,167,$4.99,3K,350
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,03/20/2007,298,$19.99,35.76K,2.04K
Vampire: The Masquerade - Bloodlines,Activision,03/22/2007,764,$19.99,11.87K,643
Deus Ex: Game of the Year Edition,Eidos Interactive Corp.,03/29/2007,80,$6.99,12.51K,678
Deus Ex: Invisible War,Eidos Interactive Corp.,03/29/2007,29,$6.99,1.18K,882
Thief: Deadly Shadows,Eidos Interactive Corp.,03/29/2007,385,$8.99,1.83K,413
Civilization IV: Warlords,2K,04/06/2007,0,$4.99,131,23
Civilization IV: Warlords,2K,04/06/2007,230,$4.99,376,35
X-COM: Terror From the Deep,2K,05/04/2007,43,$4.99,710,68
Sid Meier's Railroads!,2K,05/04/2007,828,$9.99,2.08K,871
Tomb Raider: Anniversary,Crystal Dynamics,06/05/2007,87,$8.99,4.82K,1.03K
Sam & Max 104: Abe Lincoln Must Die!,Telltale Games,06/15/2007,123,$0,402,70
Company of Heroes - Legacy Edition,SEGA,07/17/2007,122,$19.99,6.22K,421
Civilization IV: Beyond the Sword,2K,07/24/2007,1209,$29.99,3.82K,148
Quake,Bethesda Softworks,08/03/2007,96,$9.99,12.35K,451
DOOM (1993),id Software,08/03/2007,35,$4.99,15.82K,512
Return to Castle Wolfenstein,Bethesda Softworks,08/03/2007,60,$4.99,6.97K,502
Quake II,Bethesda Softworks,08/03/2007,351,$9.99,7.12K,366
DOOM II,id Software,08/03/2007,12,$4.99,7.58K,382
Quake III Arena,id Software,08/03/2007,94,$14.99,3.18K,150
Final DOOM,id Software,08/03/2007,4,$0,1.06K,181
DOOM 3,id Software,08/03/2007,134,$0,6.24K,759
