title,year,duration,genres,rating,directors,cast
tt0115953,1996,90,"Crime, Mystery, Thriller",3.9,nm0915394,"nm0023858, nm0001614, nm0518715, nm0001457"
tt0283453,2003,95,"Drama, Romance, Thriller",5.5,nm0557751,"nm0000117, nm0121605, nm0000998, nm0694052"
tt0447619,2006,102,"Adventure, Crime, Drama",4.8,nm0630112,"nm0000899, nm0000366, nm0001953, nm0098793"
tt0097493,1988,103,"Comedy, Crime",7.2,nm0499724,"nm0000213, nm0000225, nm0001147, nm0266170"
tt1453403,2010,100,"Crime, Drama",4.1,nm0025640,"nm0290556, nm0629855, nm0233027, nm0524197"
tt1018818,2008,93,"Comedy, Crime, Mystery",6.2,nm1843195,"nm1107127, nm0059215, nm0000246, nm0001650"
tt1214973,2007,94,"Drama, Music",7.4,nm0345146,"nm0422639, nm2974534, nm0422659"
tt0066531,1970,83,"Comedy, Drama",6.2,nm0305557,"nm0007023, nm0812843, nm0694934, nm0018872"
tt3784566,2014,86,Drama,6.7,nm0546686,"nm5268796, nm6550916, nm6550917, nm6662510, nm0052600, nm5104702, nm7148963"
tt0367975,2003,106,"Comedy, Romance",7.6,nm0037136,"nm0560412, nm0872922, nm0305132, nm0142762"
tt0041975,1949,80,Comedy,6.8,nm0103855,"nm0869451, nm0133521, nm0131039, nm0555807"
tt0097534,1989,96,Horror,4.4,nm0839237,"nm0205289, nm0146206, nm0796148, nm0170450"
tt0313911,2003,102,"Action, Adventure, Comedy",5.1,nm0958969,"nm0005260, nm0240381, nm0290075"
tt0184316,1955,107,"Comedy, Family, Fantasy",8.1,nm0954713,"nm0921276, nm0121512, nm0434250, nm0617235"
tt0026221,1935,94,"Action, Adventure, Biography",6.2,nm0092915,"nm0172903, nm0949835, nm0166972, nm0514250"
tt0063529,1968,67,Drama,6.7,nm0308042,"nm0856187, nm0480942, nm0733202"
tt4276752,2015,127,"Action, Adventure, Drama",5.9,nm4069612,"nm1179512, nm2348646, nm0795517, nm2854802"
tt1046936,2009,97,"Drama, Horror, Mystery",5.1,nm0826814,"nm0001828, nm0544611, nm1715189, nm1100839"
tt0066184,1970,113,"Comedy, Drama, Romance",5.7,nm0828419,"nm0000072, nm0000886, nm0105493, nm0377846"
tt0055402,1961,90,Drama,6.1,nm0724798,"nm0001665, nm0598971, nm0226947, nm0870038"
tt0084675,1982,124,Drama,6.8,nm0000570,"nm0001215, nm0000473, nm0000261, nm0000693"
tt0075652,1977,127,"Biography, Drama",6.3,nm0146960,"nm0761212, nm0430746, nm0694293, nm0514059"
tt1858582,2011,56,"Comedy, Drama",7.1,nm2145328,"nm0531195, nm2662182, nm2684816, nm2099990"
tt5542802,2017,147,"Action, Drama, Fantasy",4.7,nm1803649,"nm5305841, nm2138653, nm3822770, nm3818286"
tt1194615,2008,110,"Drama, Romance",6.4,nm0380097,"nm0022764, nm0078452, nm3362726, nm1936997"
tt0478165,2006,90,"Horror, Thriller",3.5,nm0331355,"nm1671908, nm0619295, nm1855856, nm2024927"
tt1130089,2010,45,Documentary,6.1,nm0522844,nm12445246
tt0439833,2006,95,"Crime, Drama, Thriller",6.3,nm0432420,"nm1056583, nm5846858, nm0000855, nm2064540"
tt2332857,2012,83,Horror,2.2,nm0003265,"nm0453304, nm4978849, nm3730912, nm3989537"
tt4682562,2015,111,"Mystery, Thriller",6.0,nm2974384,"nm2163344, nm3483035, nm0453440, nm1494129"
tt3215486,2014,156,"Comedy, Drama, Romance",4.7,nm5269807,"nm3561350, nm1521381, nm1495762, nm1962272"
tt0114753,1995,85,"Comedy, Drama",6.1,nm0001226,"nm0000199, nm0001512, nm0056362, nm0097371"
tt8956284,2022,114,"Comedy, Drama, Music",6.9,nm0782430,"nm0859245, nm13358040, nm0716795, nm0561356"
tt13698942,2022,92,"Drama, Thriller",5.1,nm4320125,"nm0386472, nm0098378, nm2230865, nm0001826"
tt0112654,1995,104,"Comedy, History, Romance",6.5,nm0889513,"nm0000733, nm0681566, nm0000052, nm0305488, nm0310865, nm0218843, nm0758406"
tt0096302,1988,84,"Action, Comedy",5.3,nm0308877,"nm0828770, nm0055733, nm0700072, nm0001108"
tt0015174,1924,129,"Adventure, Drama, Fantasy",7.9,nm0000485,"nm0084430, nm0778159, nm0036459, nm0519765, nm0611052"
tt0181547,1998,94,"Crime, Drama",6.4,nm0316230,"nm0660197, nm0467799, nm0367186, nm0689950"
tt0172761,1998,165,"Action, Drama, Romance",5.3,nm0025627,"nm0000821, nm0222426, nm0007114, nm0019465"
tt11112784,2022,99,"Comedy, Drama",5.8,nm1895361,"nm1701024, nm1012534, nm3612526, nm2316384"
tt0046094,1953,99,"Comedy, Romance",6.7,nm0695937,"nm0000034, nm0000057, nm0573704, nm0876451"
tt0071145,1974,131,Drama,7.8,nm0070867,"nm0000818, nm0576404, nm0619047, nm0854918"
tt0072958,1975,100,"Drama, Fantasy",6.9,nm0631799,"nm0874782, nm0601379, nm0872544, nm0517726"
tt7469726,2017,137,"Drama, Romance",7.5,nm9323057,"nm3822770, nm3713653, nm0706953, nm1320935"
tt0026406,1935,95,"Comedy, Fantasy, Horror",6.7,nm0163229,"nm0232196, nm0662335, nm0657874, nm0006471"
tt0086325,1983,85,"Action, Comedy, Crime",3.5,nm0523310,"nm0001276, nm0715274, nm0931437, nm0566588"
tt3421116,2013,106,"Comedy, Drama, Romance",5.0,nm1699679,"nm1698635, nm3113502, nm1727920, nm0258783"
tt0116621,1996,113,"Biography, Drama, Romance",5.9,nm0000277,"nm0000113, nm0000563, nm0040015, nm0825784"
tt0059390,1965,105,"Action, Comedy, Crime",5.9,nm0002153,"nm0001792, nm0002145, nm0001762, nm0405035"
tt7158514,2017,110,"Adventure, Comedy",5.5,nm5322992,"nm2693765, nm2534580, nm1417112, nm4852549"
tt0037136,1944,85,"Drama, War",7.0,nm0211964,"nm0402554, nm0461594, nm0871287, nm0738186"
tt0109190,1994,99,"Adventure, Comedy, Crime",6.2,nm0425957,"nm0001223, nm0001505, nm0001592, nm0355083"
tt0867295,2008,84,"Drama, Horror, Thriller",3.5,nm0706973,"nm0005402, nm0001698, nm0001621, nm1228504"
tt9574922,2019,89,Drama,6.5,nm5175685,"nm0525715, nm1085921, nm8300827, nm10387867"
